freq,cost,iteration
0.21,19.0,1
0.31,22.0,2
0.33,21.0,3
0.31,21.0,4
0.255,21.0,5
0.33,22.0,6
0.29,22.0,7
0.295,21.0,8
0.345,18.0,9
0.26,18.0,10
0.255,25.0,11
0.295,24.0,12
0.255,23.0,13
0.35,17.0,14
0.315,21.0,15
0.29,19.0,16
0.245,19.0,17
0.315,23.0,18
0.26,19.0,19
0.205,23.0,20
0.33,22.0,21
0.3,22.0,22
0.275,19.0,23
0.28,24.0,24
0.355,21.0,25
0.21,21.0,26
0.3,20.0,27
0.255,22.0,28
0.215,21.0,29
0.24,24.0,30
0.305,22.0,31
0.255,21.0,32
0.255,18.0,33
0.295,19.0,34
0.305,19.0,35
0.23,20.0,36
0.25,16.0,37
0.215,15.0,38
0.22,17.0,39
0.22,11.0,40
0.24,16.0,41
0.215,16.0,42
0.265,17.0,43
0.27,18.0,44
0.245,22.0,45
0.25,19.0,46
0.245,17.0,47
0.19,14.0,48
0.17,20.0,49
0.235,16.0,50
0.28,14.0,51
0.175,15.0,52
0.19,14.0,53
0.24,13.0,54
0.2,11.0,55
0.23,13.0,56
0.2,14.0,57
0.13,14.0,58
0.25,17.0,59
0.19,19.0,60
0.25,15.0,61
0.245,19.0,62
0.27,14.0,63
0.23,15.0,64
0.23,14.0,65
0.23,15.0,66
0.205,13.0,67
0.195,15.0,68
0.23,16.0,69
0.23,11.0,70
0.22,17.0,71
0.185,14.0,72
0.2,13.0,73
0.22,17.0,74
0.16,15.0,75
0.195,14.0,76
0.235,13.0,77
0.205,12.0,78
0.23,11.0,79
0.16,10.0,80
0.17,18.0,81
0.225,14.0,82
0.25,14.0,83
0.195,16.0,84
0.19,9.0,85
0.12,11.0,86
0.2,15.0,87
0.22,14.0,88
0.245,14.0,89
0.09,15.0,90
0.13,10.0,91
0.18,10.0,92
0.135,14.0,93
0.08,9.0,94
0.115,8.0,95
0.14,11.0,96
0.185,11.0,97
0.21,12.0,98
0.16,10.0,99
0.175,14.0,100
0.135,10.0,101
0.13,13.0,102
0.13,10.0,103
0.16,11.0,104
0.105,13.0,105
0.1,13.0,106
0.17,9.0,107
0.095,15.0,108
0.08,11.0,109
0.085,13.0,110
0.165,10.0,111
0.1,19.0,112
0.15,10.0,113
0.12,14.0,114
0.165,11.0,115
0.14,15.0,116
0.125,12.0,117
0.105,10.0,118
0.09,11.0,119
0.08,12.0,120
0.16,13.0,121
0.18,17.0,122
0.095,14.0,123
0.115,12.0,124
0.11,11.0,125
0.17,12.0,126
0.14,16.0,127
0.13,15.0,128
0.075,8.0,129
0.14,11.0,130
0.1,14.0,131
0.165,10.0,132
0.035,11.0,133
0.07,14.0,134
0.055,12.0,135
0.045,13.0,136
0.055,13.0,137
0.07,13.0,138
0.115,13.0,139
0.045,12.0,140
0.03,10.0,141
0.045,10.0,142
0.175,11.0,143
0.145,9.0,144
0.12,14.0,145
0.145,15.0,146
0.095,10.0,147
0.065,15.0,148
0.09,6.0,149
0.125,11.0,150
0.08,10.0,151
0.05,9.0,152
0.08,13.0,153
0.16,11.0,154
0.03,10.0,155
0.13,11.0,156
0.125,12.0,157
0.07,9.0,158
0.125,8.0,159
0.06,10.0,160
0.05,11.0,161
0.085,12.0,162
0.105,8.0,163
0.05,10.0,164
0.025,11.0,165
0.035,5.0,166
0.05,9.0,167
0.04,10.0,168
0.05,6.0,169
0.065,7.0,170
0.065,7.0,171
0.11,10.0,172
0.075,11.0,173
0.095,10.0,174
0.055,10.0,175
0.095,7.0,176
0.06,10.0,177
0.035,11.0,178
0.065,10.0,179
0.065,9.0,180
0.105,12.0,181
0.1,10.0,182
0.045,9.0,183
0.07,6.0,184
0.055,8.0,185
0.11,11.0,186
0.09,8.0,187
0.065,10.0,188
0.055,8.0,189
0.03,6.0,190
0.02,7.0,191
0.005,9.0,192
0.025,7.0,193
0.015,8.0,194
0.03,9.0,195
0.02,10.0,196
0.065,9.0,197
0.04,7.0,198
0.015,6.0,199
0.055,4.0,200
0.04,9.0,201
0.015,8.0,202
0.045,9.0,203
0.05,9.0,204
0.02,9.0,205
0.03,7.0,206
0.005,6.0,207
0.045,6.0,208
0.03,8.0,209
0.055,8.0,210
0.04,10.0,211
0.025,10.0,212
0.065,8.0,213
0.025,8.0,214
0.0,8.0,215
0.04,5.0,216
0.01,7.0,217
0.025,9.0,218
0.025,7.0,219
0.05,5.0,220
0.01,7.0,221
0.025,8.0,222
0.045,9.0,223
0.03,7.0,224
0.03,7.0,225
0.04,7.0,226
0.01,6.0,227
0.095,9.0,228
0.035,6.0,229
0.03,6.0,230
0.015,6.0,231
0.025,4.0,232
0.01,7.0,233
0.035,6.0,234
0.015,6.0,235
0.07,6.0,236
0.04,8.0,237
0.085,4.0,238
0.015,4.0,239
0.065,6.0,240
0.03,8.0,241
0.025,6.0,242
0.02,5.0,243
0.03,4.0,244
0.02,4.0,245
0.02,3.0,246
0.02,4.0,247
0.02,4.0,248
0.04,4.0,249
0.0,4.0,250
0.01,4.0,251
0.03,6.0,252
0.03,5.0,253
0.01,6.0,254
0.02,4.0,255
0.01,5.0,256
0.04,5.0,257
0.025,5.0,258
0.005,4.0,259
0.0,4.0,260
0.01,3.0,261
0.0,3.0,262
0.01,6.0,263
0.0,6.0,264
0.0,6.0,265
0.0,6.0,266
0.01,4.0,267
0.01,8.0,268
0.04,6.0,269
0.01,5.0,270
0.01,3.0,271
0.0,3.0,272
0.01,5.0,273
0.0,5.0,274
0.0,5.0,275
0.02,3.0,276
0.01,4.0,277
0.01,3.0,278
0.01,5.0,279
0.01,4.0,280
0.02,4.0,281
0.02,3.0,282
0.0,3.0,283
0.01,4.0,284
0.03,4.0,285
0.0,4.0,286
0.01,2.0,287
0.02,3.0,288
0.025,5.0,289
0.045,4.0,290
0.02,3.0,291
0.01,4.0,292
0.0,4.0,293
0.01,5.0,294
0.0,5.0,295
0.01,4.0,296
0.02,5.0,297
0.01,3.0,298
0.0,3.0,299
0.03,3.0,300
0.025,4.0,301
0.005,3.0,302
0.01,4.0,303
0.02,5.0,304
0.005,6.0,305
0.025,7.0,306
0.0,7.0,307
0.0,7.0,308
0.0,7.0,309
0.02,7.0,310
0.0,7.0,311
0.01,7.0,312
0.025,6.0,313
0.025,6.0,314
0.01,6.0,315
0.0,6.0,316
0.05,3.0,317
0.0,3.0,318
0.0,3.0,319
0.0,3.0,320
0.0,3.0,321
0.0,3.0,322
0.02,3.0,323
0.0,3.0,324
0.01,4.0,325
0.01,4.0,326
0.01,4.0,327
0.01,4.0,328
0.01,4.0,329
0.02,3.0,330
0.0,3.0,331
0.0,3.0,332
0.02,3.0,333
0.0,3.0,334
0.0,3.0,335
0.0,3.0,336
0.0,3.0,337
0.01,4.0,338
0.01,5.0,339
0.005,6.0,340
0.005,5.0,341
0.0,5.0,342
0.0,5.0,343
0.0,5.0,344
0.0,5.0,345
0.01,3.0,346
0.01,5.0,347
0.0,5.0,348
0.01,6.0,349
0.03,3.0,350
0.01,2.0,351
0.0,2.0,352
0.0,2.0,353
0.005,5.0,354
0.015,5.0,355
0.0,5.0,356
0.0,5.0,357
0.0,5.0,358
0.0,5.0,359
0.0,5.0,360
0.0,5.0,361
0.01,7.0,362
0.0,7.0,363
0.0,7.0,364
0.0,7.0,365
0.0,7.0,366
0.01,7.0,367
0.0,7.0,368
0.01,6.0,369
0.0,6.0,370
0.0,6.0,371
0.0,6.0,372
0.01,5.0,373
0.0,5.0,374
0.0,5.0,375
0.01,4.0,376
0.0,4.0,377
0.0,4.0,378
0.0,4.0,379
0.0,4.0,380
0.0,4.0,381
0.0,4.0,382
0.01,5.0,383
0.01,5.0,384
0.0,5.0,385
0.0,5.0,386
0.0,5.0,387
0.01,6.0,388
0.01,7.0,389
0.01,5.0,390
0.0,5.0,391
0.0,5.0,392
0.0,5.0,393
0.0,5.0,394
0.0,5.0,395
0.0,5.0,396
0.0,5.0,397
0.0,5.0,398
0.0,5.0,399
0.01,6.0,400
0.0,6.0,401
0.0,6.0,402
0.02,5.0,403
0.01,5.0,404
0.0,5.0,405
0.0,5.0,406
0.0,5.0,407
0.0,5.0,408
0.0,5.0,409
0.0,5.0,410
0.0,5.0,411
0.0,5.0,412
0.0,5.0,413
0.0,5.0,414
0.0,5.0,415
0.0,5.0,416
0.0,5.0,417
0.0,5.0,418
0.0,5.0,419
0.0,5.0,420
0.01,6.0,421
0.0,6.0,422
0.0,6.0,423
0.01,5.0,424
0.0,5.0,425
0.0,5.0,426
0.025,5.0,427
0.015,6.0,428
0.03,5.0,429
0.0,5.0,430
0.0,5.0,431
0.01,5.0,432
0.0,5.0,433
0.0,5.0,434
0.0,5.0,435
0.0,5.0,436
0.0,5.0,437
0.01,4.0,438
0.0,4.0,439
0.0,4.0,440
0.0,4.0,441
0.01,4.0,442
0.05,6.0,443
0.03,6.0,444
0.01,6.0,445
0.01,4.0,446
0.01,4.0,447
0.0,4.0,448
0.0,4.0,449
0.0,4.0,450
0.0,4.0,451
0.0,4.0,452
0.0,4.0,453
0.0,4.0,454
0.0,4.0,455
0.0,4.0,456
0.02,4.0,457
0.0,4.0,458
0.0,4.0,459
0.0,4.0,460
0.0,4.0,461
0.0,4.0,462
0.0,4.0,463
0.0,4.0,464
0.01,4.0,465
0.01,4.0,466
0.01,4.0,467
0.01,4.0,468
0.0,4.0,469
0.0,4.0,470
0.0,4.0,471
0.0,4.0,472
0.0,4.0,473
0.015,5.0,474
0.005,4.0,475
0.0,4.0,476
0.0,4.0,477
0.0,4.0,478
0.03,4.0,479
0.0,4.0,480
0.0,4.0,481
0.0,4.0,482
0.0,4.0,483
0.01,4.0,484
0.0,4.0,485
0.0,4.0,486
0.0,4.0,487
0.0,4.0,488
0.01,4.0,489
0.0,4.0,490
0.0,4.0,491
0.0,4.0,492
0.0,4.0,493
0.0,4.0,494
0.0,4.0,495
0.0,4.0,496
0.0,4.0,497
0.0,4.0,498
0.0,4.0,499
0.0,4.0,500
0.0,4.0,501
0.0,4.0,502
0.0,4.0,503
0.0,4.0,504
0.0,4.0,505
0.01,5.0,506
0.01,4.0,507
0.0,4.0,508
0.0,4.0,509
0.0,4.0,510
0.005,4.0,511
0.005,4.0,512
0.0,4.0,513
0.0,4.0,514
0.0,4.0,515
0.0,4.0,516
0.0,4.0,517
0.0,4.0,518
0.0,4.0,519
0.0,4.0,520
0.0,4.0,521
0.0,4.0,522
0.0,4.0,523
0.0,4.0,524
0.0,4.0,525
0.0,4.0,526
0.0,4.0,527
0.0,4.0,528
0.0,4.0,529
0.0,4.0,530
0.0,4.0,531
0.0,4.0,532
0.0,4.0,533
0.0,4.0,534
0.0,4.0,535
0.0,4.0,536
0.0,4.0,537
0.0,4.0,538
0.0,4.0,539
0.0,4.0,540
0.0,4.0,541
0.0,4.0,542
0.0,4.0,543
0.0,4.0,544
0.0,4.0,545
0.0,4.0,546
0.0,4.0,547
0.0,4.0,548
0.0,4.0,549
0.01,4.0,550
0.01,5.0,551
0.0,5.0,552
0.01,6.0,553
0.0,6.0,554
0.01,6.0,555
0.0,6.0,556
0.01,6.0,557
0.0,6.0,558
0.0,6.0,559
0.02,5.0,560
0.0,5.0,561
0.0,5.0,562
0.0,5.0,563
0.0,5.0,564
0.0,5.0,565
0.0,5.0,566
0.01,4.0,567
0.0,4.0,568
0.0,4.0,569
0.03,3.0,570
0.0,3.0,571
0.01,3.0,572
0.0,3.0,573
0.0,3.0,574
0.0,3.0,575
0.01,5.0,576
0.0,5.0,577
0.0,5.0,578
0.0,5.0,579
0.01,6.0,580
0.0,6.0,581
0.01,6.0,582
0.005,5.0,583
0.01,5.0,584
0.015,6.0,585
0.01,5.0,586
0.015,5.0,587
0.015,3.0,588
0.0,3.0,589
0.0,3.0,590
0.0,3.0,591
0.0,3.0,592
0.005,3.0,593
0.005,3.0,594
0.0,3.0,595
0.01,2.0,596
0.0,2.0,597
0.0,2.0,598
0.0,2.0,599
0.0,2.0,600
0.02,3.0,601
0.03,4.0,602
0.0,4.0,603
0.0,4.0,604
0.0,4.0,605
0.01,3.0,606
0.01,3.0,607
0.0,3.0,608
0.01,2.0,609
0.0,2.0,610
0.0,2.0,611
0.0,2.0,612
0.0,2.0,613
0.0,2.0,614
0.0,2.0,615
0.0,2.0,616
0.03,3.0,617
0.0,3.0,618
0.0,3.0,619
0.01,4.0,620
0.01,2.0,621
0.0,2.0,622
0.0,2.0,623
0.0,2.0,624
0.0,2.0,625
0.0,2.0,626
0.0,2.0,627
0.0,2.0,628
0.0,2.0,629
0.0,2.0,630
0.0,2.0,631
0.0,2.0,632
0.0,2.0,633
0.01,4.0,634
0.0,4.0,635
0.01,4.0,636
0.0,4.0,637
0.0,4.0,638
0.0,4.0,639
0.0,4.0,640
0.0,4.0,641
0.0,4.0,642
0.0,4.0,643
0.0,4.0,644
0.0,4.0,645
0.0,4.0,646
0.0,4.0,647
0.0,4.0,648
0.01,4.0,649
0.0,4.0,650
0.0,4.0,651
0.0,4.0,652
0.005,4.0,653
0.005,4.0,654
0.0,4.0,655
0.0,4.0,656
0.0,4.0,657
0.0,4.0,658
0.0,4.0,659
0.0,4.0,660
0.0,4.0,661
0.0,4.0,662
0.0,4.0,663
0.01,3.0,664
0.0,3.0,665
0.0,3.0,666
0.0,3.0,667
0.0,3.0,668
0.0,3.0,669
0.0,3.0,670
0.0,3.0,671
0.0,3.0,672
0.0,3.0,673
0.0,3.0,674
0.0,3.0,675
0.0,3.0,676
0.0,3.0,677
0.0,3.0,678
0.0,3.0,679
0.0,3.0,680
0.0,3.0,681
0.0,3.0,682
0.0,3.0,683
0.005,4.0,684
0.005,4.0,685
0.0,4.0,686
0.0,4.0,687
0.0,4.0,688
0.0,4.0,689
0.0,4.0,690
0.0,4.0,691
0.0,4.0,692
0.0,4.0,693
0.015,4.0,694
0.005,3.0,695
0.0,3.0,696
0.01,2.0,697
0.0,2.0,698
0.0,2.0,699
0.0,2.0,700
0.0,2.0,701
0.0,2.0,702
0.0,2.0,703
0.015,4.0,704
0.005,4.0,705
0.015,4.0,706
0.01,4.0,707
0.005,4.0,708
0.01,3.0,709
0.005,3.0,710
0.01,3.0,711
0.005,3.0,712
0.005,3.0,713
0.005,3.0,714
0.02,2.0,715
0.0,2.0,716
0.015,2.0,717
0.0,2.0,718
0.005,2.0,719
0.005,2.0,720
0.0,2.0,721
0.005,2.0,722
0.0,2.0,723
0.0,2.0,724
0.0,2.0,725
0.0,2.0,726
0.0,2.0,727
0.0,2.0,728
0.0,2.0,729
0.01,2.0,730
0.0,2.0,731
0.0,2.0,732
0.0,2.0,733
0.01,2.0,734
0.0,2.0,735
0.005,2.0,736
0.015,2.0,737
0.01,2.0,738
0.0,2.0,739
0.0,2.0,740
0.01,2.0,741
0.0,2.0,742
0.0,2.0,743
0.0,2.0,744
0.0,2.0,745
0.01,2.0,746
0.0,2.0,747
0.0,2.0,748
0.0,2.0,749
0.0,2.0,750
0.0,2.0,751
0.01,2.0,752
0.0,2.0,753
0.005,2.0,754
0.005,2.0,755
0.005,2.0,756
0.01,2.0,757
0.01,2.0,758
0.005,2.0,759
0.0,2.0,760
0.0,2.0,761
0.005,2.0,762
