freq,cost,iteration
0.995,16.0,1
0.99,13.0,2
1.0,15.0,3
0.98,18.0,4
1.0,12.0,5
0.995,15.0,6
0.985,10.0,7
0.995,13.0,8
0.995,21.0,9
0.98,12.0,10
1.0,19.0,11
1.0,17.0,12
0.99,11.0,13
0.99,16.0,14
0.985,15.0,15
0.995,18.0,16
0.995,17.0,17
0.99,19.0,18
0.985,16.0,19
0.995,17.0,20
0.98,15.0,21
0.99,18.0,22
0.99,13.0,23
0.98,12.0,24
0.97,16.0,25
1.0,17.0,26
0.99,18.0,27
0.99,16.0,28
0.99,11.0,29
0.985,15.0,30
0.99,11.0,31
0.99,18.0,32
0.975,12.0,33
1.0,13.0,34
0.96,11.0,35
0.985,16.0,36
0.975,13.0,37
0.98,19.0,38
0.975,11.0,39
0.985,17.0,40
0.97,11.0,41
0.99,16.0,42
0.995,13.0,43
0.97,14.0,44
0.975,18.0,45
0.985,16.0,46
0.99,16.0,47
0.985,14.0,48
0.96,13.0,49
0.98,20.0,50
0.995,18.0,51
0.99,18.0,52
1.0,14.0,53
0.99,18.0,54
0.955,20.0,55
0.985,17.0,56
0.97,15.0,57
0.99,15.0,58
0.97,16.0,59
0.97,18.0,60
0.99,15.0,61
0.965,18.0,62
0.975,16.0,63
0.96,19.0,64
0.99,18.0,65
0.965,17.0,66
0.975,16.0,67
0.99,14.0,68
0.96,17.0,69
0.97,15.0,70
0.97,10.0,71
0.965,11.0,72
0.96,13.0,73
0.955,17.0,74
0.975,14.0,75
0.96,18.0,76
0.955,15.0,77
0.975,17.0,78
0.955,15.0,79
0.97,18.0,80
0.985,18.0,81
0.975,10.0,82
0.985,18.0,83
0.985,19.0,84
0.965,10.0,85
0.965,13.0,86
0.955,13.0,87
0.96,15.0,88
0.955,13.0,89
0.975,16.0,90
0.975,19.0,91
0.97,16.0,92
0.965,16.0,93
0.965,14.0,94
0.98,12.0,95
0.98,20.0,96
0.96,13.0,97
0.97,14.0,98
0.975,13.0,99
0.95,19.0,100
0.97,10.0,101
0.97,16.0,102
0.965,13.0,103
0.95,15.0,104
0.985,16.0,105
0.99,10.0,106
0.97,14.0,107
0.965,9.0,108
0.955,16.0,109
0.97,13.0,110
0.955,14.0,111
0.955,15.0,112
0.94,16.0,113
0.95,12.0,114
0.94,12.0,115
0.945,10.0,116
0.99,13.0,117
0.97,16.0,118
0.965,16.0,119
0.97,13.0,120
0.97,17.0,121
0.975,16.0,122
0.955,16.0,123
0.925,16.0,124
0.965,14.0,125
0.97,12.0,126
0.955,17.0,127
0.965,15.0,128
0.965,14.0,129
0.955,13.0,130
0.94,12.0,131
0.965,17.0,132
0.955,16.0,133
