type,size,iterations,time,num_replicas
interacting,10,0.0,0.0019729137420654297,3
non_interacting,10,0.0,0.001588582992553711,3
interacting,10,0.0,0.0009527206420898438,3
non_interacting,10,0.0,0.0009338855743408203,3
interacting,10,0.0,0.02125835418701172,3
non_interacting,10,0.0,0.01743316650390625,3
interacting,10,0.0,0.004286050796508789,3
non_interacting,10,0.0,0.004523515701293945,3
interacting,10,0.0,0.00449681282043457,3
non_interacting,10,0.0,0.004726409912109375,3
interacting,10,0.0,0.0002505779266357422,3
non_interacting,10,0.0,0.00026154518127441406,3
interacting,10,0.0,0.02296161651611328,3
non_interacting,10,0.0,0.010828256607055664,3
interacting,10,0.0,0.006703615188598633,3
non_interacting,10,0.0,0.0021567344665527344,3
interacting,10,0.0,0.00025153160095214844,3
non_interacting,10,0.0,0.00024771690368652344,3
interacting,10,0.0,0.0010983943939208984,3
non_interacting,10,0.0,0.0011444091796875,3
interacting,30,23.0,1.0163869857788086,3
non_interacting,30,11.0,0.5087876319885254,3
interacting,30,32.0,1.4020583629608154,3
non_interacting,30,13.0,0.6020259857177734,3
interacting,30,7.0,0.32169055938720703,3
non_interacting,30,1.0,0.07694196701049805,3
interacting,30,19.0,0.8745644092559814,3
non_interacting,30,11.0,0.49807310104370117,3
interacting,30,22.0,0.947944164276123,3
non_interacting,30,28.0,1.2414257526397705,3
interacting,30,7.0,0.33870911598205566,3
non_interacting,30,7.0,0.3424398899078369,3
interacting,30,1.0,0.08520817756652832,3
non_interacting,30,3.0,0.14472532272338867,3
interacting,30,4.0,0.21594023704528809,3
non_interacting,30,2.0,0.11229634284973145,3
interacting,30,18.0,0.8071999549865723,3
non_interacting,30,3.0,0.14348721504211426,3
interacting,30,2.0,0.12191343307495117,3
non_interacting,30,6.0,0.28010988235473633,3
interacting,50,30.0,1.359098196029663,3
non_interacting,50,25.0,1.140223503112793,3
interacting,50,308.0,13.453970432281494,3
non_interacting,50,170.0,7.545644998550415,3
interacting,50,166.0,7.277924537658691,3
non_interacting,50,50.0,2.2272746562957764,3
interacting,50,132.0,5.702456951141357,3
non_interacting,50,113.0,4.986626148223877,3
interacting,50,136.0,5.96573281288147,3
non_interacting,50,88.0,3.8992791175842285,3
interacting,50,29.0,1.3067779541015625,3
non_interacting,50,20.0,0.9003016948699951,3
interacting,50,116.0,5.272701978683472,3
non_interacting,50,178.0,7.899197101593018,3
interacting,50,190.0,8.270690441131592,3
non_interacting,50,86.0,3.8135170936584473,3
interacting,50,1.0,0.044812917709350586,3
non_interacting,50,47.0,2.0814783573150635,3
interacting,50,64.0,2.8632712364196777,3
non_interacting,50,22.0,1.0092475414276123,3
interacting,70,372.0,16.255106449127197,3
non_interacting,70,193.0,8.65024995803833,3
interacting,70,164.0,7.312499761581421,3
non_interacting,70,143.0,6.4307403564453125,3
interacting,70,383.0,16.662144422531128,3
non_interacting,70,169.0,7.505977153778076,3
interacting,70,633.0,27.193525314331055,3
non_interacting,70,293.0,12.950329542160034,3
interacting,70,192.0,8.519296407699585,3
non_interacting,70,107.0,4.811892747879028,3
interacting,70,348.0,15.089404821395874,3
non_interacting,70,328.0,14.48520541191101,3
interacting,70,228.0,10.435348510742188,3
non_interacting,70,127.0,6.310428619384766,3
interacting,70,264.0,12.698392391204834,3
non_interacting,70,154.0,7.260031461715698,3
interacting,70,532.0,24.0570969581604,3
non_interacting,70,321.0,14.770960569381714,3
interacting,70,457.0,20.813982486724854,3
non_interacting,70,194.0,8.7741219997406,3
interacting,90,618.0,27.74767756462097,3
non_interacting,90,258.0,11.9553701877594,3
interacting,90,467.0,21.48954749107361,3
non_interacting,90,370.0,17.09727382659912,3
interacting,90,287.0,13.087557077407837,3
non_interacting,90,162.0,7.48823356628418,3
interacting,90,469.0,21.431426286697388,3
non_interacting,90,298.0,13.495616674423218,3
interacting,90,428.0,19.262831449508667,3
non_interacting,90,209.0,9.553226232528687,3
interacting,90,415.0,18.748295783996582,3
non_interacting,90,214.0,9.833351850509644,3
interacting,90,442.0,20.240528106689453,3
non_interacting,90,297.0,13.823266983032227,3
interacting,90,579.0,26.498354196548462,3
non_interacting,90,407.0,18.976080417633057,3
interacting,90,529.0,24.26562809944153,3
non_interacting,90,393.0,18.006460666656494,3
interacting,90,364.0,16.514920949935913,3
non_interacting,90,355.0,16.014121532440186,3
interacting,110,833.0,37.290297746658325,3
non_interacting,110,411.0,18.839552640914917,3
interacting,110,284.0,13.066846370697021,3
non_interacting,110,318.0,14.598738431930542,3
interacting,110,,,3
non_interacting,110,446.0,19.942606449127197,3
interacting,110,742.0,32.52846717834473,3
non_interacting,110,297.0,13.364474534988403,3
interacting,110,697.0,30.57313084602356,3
non_interacting,110,516.0,22.66981339454651,3
interacting,110,559.0,24.53561282157898,3
non_interacting,110,253.0,11.25774097442627,3
interacting,110,972.0,42.09077525138855,3
non_interacting,110,418.0,18.465659379959106,3
interacting,110,455.0,21.65282940864563,3
non_interacting,110,364.0,18.47718358039856,3
interacting,110,726.0,33.22365045547485,3
non_interacting,110,292.0,13.2654869556427,3
interacting,110,647.0,28.523255109786987,3
non_interacting,110,353.0,15.801308393478394,3
